review,sentiment
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
I love this product,1
This is terrible,0
Amazing quality,1
Worst purchase ever,0
Highly recommended,1
Waste of money,0
Good stuff,1
I hate it,0
Not bad,1
Not good,0
